,cpf,cnpj,id
68,880.344.136-07,45.388.351/0001-50,68
69,366.248.620-25,37.058.193/0001-41,69
70,032.941.025-34,57.500.937/0001-43,70
71,977.134.292-47,61.319.830/0001-70,71
72,371.247.230-78,26.478.934/0001-27,72
73,117.415.112-91,77.926.603/0001-43,73
74,829.255.692-34,59.581.924/0001-71,74
75,497.997.774-02,05.633.441/0001-44,75
76,564.814.188-28,94.225.854/0001-10,76
77,675.609.324-01,24.419.337/0001-04,77
78,052.041.642-27,88.809.471/0001-96,78
79,538.790.663-53,65.961.908/0001-07,79
80,479.216.298-06,41.389.936/0001-33,80
81,762.847.198-68,34.293.363/0001-84,81
82,270.522.511-08,37.352.821/0001-05,82
83,714.384.092-06,19.974.001/0001-65,83
84,084.599.126-47,13.026.178/0001-53,84
85,043.712.511-45,06.981.499/0001-41,85
86,281.497.365-73,10.329.188/0001-70,86
87,442.021.670-07,12.913.581/0001-31,87
88,704.498.518-18,47.758.445/0001-07,88
89,670.257.425-89,42.699.264/0001-25,89
90,273.728.963-71,59.815.597/0001-75,90
91,720.999.971-01,06.795.364/0001-91,91
92,339.702.359-95,11.246.556/0001-89,92
93,220.058.599-31,85.283.065/0001-44,93
94,108.925.513-64,61.780.044/0001-76,94
95,376.009.005-21,89.311.625/0001-88,95
96,730.545.803-18,91.855.966/0001-66,96
97,932.047.103-78,48.808.553/0001-00,97
98,856.333.385-29,70.653.488/0001-31,98
99,634.586.684-97,25.697.790/0001-37,99
100,582.835.988-64,53.596.359/0001-30,100
101,900.789.559-12,17.663.395/0001-05,101
102,583.833.893-88,39.706.683/0001-32,102
103,333.260.331-09,04.520.710/0001-01,103
104,400.184.591-10,71.476.916/0001-60,104
105,113.521.526-06,11.394.290/0001-11,105
106,271.289.355-76,21.029.334/0001-68,106
107,667.712.640-41,01.408.738/0001-55,107
108,500.646.068-72,73.940.040/0001-97,108
109,830.632.161-86,12.046.992/0001-77,109
110,088.249.173-30,27.560.566/0001-24,110
111,538.864.450-20,39.832.972/0001-88,111
112,228.058.858-72,76.580.361/0001-16,112
113,521.121.028-00,01.032.553/0001-99,113
114,737.452.686-52,43.540.536/0001-02,114
115,120.372.587-63,16.512.919/0001-02,115
116,107.390.267-63,76.664.023/0001-62,116
117,637.597.408-98,28.709.727/0001-61,117
118,923.163.214-02,72.959.457/0001-39,118
119,457.268.752-81,17.938.541/0001-68,119
120,657.805.238-00,18.435.345/0001-33,120
121,231.365.517-29,61.963.618/0001-41,121
122,177.458.374-72,55.205.273/0001-64,122
123,963.688.342-42,63.256.300/0001-56,123
124,954.830.331-08,72.811.362/0001-73,124
125,438.931.665-64,23.406.588/0001-83,125
126,268.292.340-26,81.860.302/0001-31,126
127,701.840.648-05,64.952.108/0001-67,127
128,464.221.048-20,60.894.342/0001-24,128
129,570.201.823-05,92.668.212/0001-60,129
130,824.132.131-71,74.905.777/0001-31,130
131,671.202.463-30,94.286.231/0001-57,131
132,487.668.383-20,16.639.185/0001-19,132
133,386.740.652-95,30.822.864/0001-50,133
134,723.453.851-89,04.765.896/0001-50,134
135,284.233.001-37,07.695.697/0001-01,135
136,330.806.673-44,00.713.373/0001-00,136
137,040.180.629-40,89.910.103/0001-00,137
138,490.603.316-48,66.933.753/0001-68,138
139,947.936.036-53,07.892.284/0001-17,139
140,201.367.796-03,73.307.748/0001-05,140
141,251.866.470-04,09.121.813/0001-04,141
142,391.769.682-78,85.399.482/0001-57,142
143,435.090.547-25,95.506.558/0001-50,143
144,556.247.887-03,32.465.330/0001-49,144
145,964.935.016-01,22.944.296/0001-31,145
146,686.457.303-67,19.420.149/0001-58,146
147,878.650.530-02,62.110.500/0001-33,147
148,633.759.842-35,19.022.079/0001-80,148
149,326.872.786-70,79.766.344/0001-66,149
150,193.101.422-19,17.185.314/0001-09,150
151,691.240.590-80,34.020.285/0001-44,151
152,941.212.855-06,16.290.981/0001-99,152
153,369.374.834-90,88.814.801/0001-31,153
154,982.161.666-64,66.875.805/0001-97,154
155,551.385.392-21,28.045.502/0001-58,155
156,539.769.377-46,30.626.881/0001-11,156
157,671.864.501-05,27.512.502/0001-58,157
158,859.699.298-75,98.085.634/0001-99,158
159,491.316.877-09,16.842.288/0001-81,159
160,118.061.922-68,02.062.565/0001-29,160
161,159.285.678-04,87.745.993/0001-09,161
162,884.185.647-50,48.216.639/0001-35,162
163,034.749.868-05,28.665.578/0001-86,163
164,402.040.049-00,06.943.199/0001-78,164
165,812.002.691-87,90.128.341/0001-30,165
166,469.868.366-19,65.119.229/0001-95,166
167,327.921.403-30,02.572.699/0001-90,167
168,002.695.578-49,04.214.517/0001-34,168
169,695.121.214-76,06.336.615/0001-70,169
170,612.708.598-54,78.964.508/0001-05,170
171,244.374.128-18,78.813.317/0001-34,171
172,270.316.964-70,52.104.380/0001-08,172
173,603.122.692-85,15.988.926/0001-04,173
174,880.093.048-40,69.795.167/0001-92,174
175,833.061.965-68,36.035.472/0001-27,175
176,042.129.122-28,14.593.413/0001-31,176
177,837.268.769-28,06.403.476/0001-50,177
178,444.696.924-25,25.665.020/0001-02,178
179,594.482.804-83,73.221.163/0001-78,179
180,713.014.429-76,32.774.897/0001-05,180
181,131.880.586-40,09.120.937/0001-75,181
182,566.915.018-02,08.861.964/0001-36,182
183,116.579.256-76,21.560.455/0001-31,183
184,564.102.251-99,18.349.339/0001-63,184
185,585.099.784-92,17.257.618/0001-34,185
186,867.412.630-80,90.013.922/0001-26,186
187,279.378.126-64,03.786.390/0001-65,187
188,420.865.048-61,63.752.145/0001-69,188
189,999.697.435-97,69.386.529/0001-91,189
190,727.092.923-86,16.175.012/0001-97,190
191,222.817.366-52,45.955.155/0001-10,191
192,733.312.029-59,41.591.773/0001-77,192
193,005.079.113-34,55.086.654/0001-71,193
194,057.877.369-40,77.966.259/0001-16,194
195,760.552.748-92,00.869.689/0001-95,195
196,927.616.198-89,25.619.765/0001-35,196
197,567.582.670-08,36.406.657/0001-09,197
198,841.749.460-00,94.518.076/0001-57,198
199,409.881.702-05,24.810.117/0001-07,199
200,893.239.534-90,09.893.345/0001-96,200
201,040.021.058-49,24.138.187/0001-52,201
202,067.907.848-70,64.647.015/0001-29,202
203,387.156.202-55,45.012.979/0001-56,203
204,382.342.795-48,48.946.351/0001-16,204
205,801.582.329-33,04.239.509/0001-42,205
206,958.758.393-09,07.813.419/0001-01,206
207,534.274.049-51,59.031.105/0001-50,207
208,873.607.035-14,47.947.152/0001-60,208
209,436.695.807-43,66.316.858/0001-78,209
210,293.572.966-89,75.771.282/0001-20,210
211,135.612.260-43,71.629.988/0001-09,211
212,401.230.004-08,09.647.448/0001-76,212
213,950.914.956-06,44.131.221/0001-74,213
214,078.481.731-60,14.710.695/0001-00,214
215,366.320.472-38,66.312.738/0001-00,215
216,685.903.026-79,87.119.878/0001-29,216
217,366.658.793-30,72.175.512/0001-08,217
218,871.576.968-27,07.548.696/0001-34,218
219,051.331.155-63,88.667.476/0001-21,219
220,507.122.449-64,16.054.927/0001-44,220
221,646.441.495-00,14.210.754/0001-80,221
222,923.479.987-90,19.160.332/0001-61,222
223,402.211.878-47,69.192.567/0001-03,223
224,981.118.942-01,35.243.911/0001-24,224
225,331.915.298-02,28.309.305/0001-07,225
226,860.699.994-60,76.461.921/0001-13,226
227,440.022.236-55,37.275.190/0001-60,227
228,360.137.356-46,44.416.654/0001-76,228
229,238.530.995-56,04.696.215/0001-40,229
230,679.661.788-62,72.878.245/0001-27,230
231,495.781.685-94,63.586.247/0001-51,231
232,524.478.441-23,95.269.749/0001-45,232
233,672.978.566-73,59.083.956/0001-47,233
234,648.688.354-59,17.957.539/0001-36,234
235,808.375.039-57,79.593.617/0001-18,235
236,751.352.661-35,62.390.145/0001-01,236
237,341.010.238-83,39.064.558/0001-76,237
238,130.520.705-09,04.663.753/0001-38,238
239,194.607.406-34,23.599.595/0001-49,239
240,133.247.473-09,76.923.544/0001-97,240
241,959.538.721-51,64.622.677/0001-44,241
242,046.566.208-07,53.950.001/0001-63,242
243,510.524.389-70,26.940.145/0001-66,243
244,460.816.748-00,69.788.616/0001-75,244
245,617.160.501-89,02.506.748/0001-96,245
246,457.723.775-07,65.945.705/0001-27,246
247,314.715.131-06,88.506.212/0001-96,247
248,893.672.393-60,76.345.319/0001-10,248
249,770.867.452-27,79.500.445/0001-90,249
250,583.229.970-19,77.841.195/0001-27,250
251,464.410.757-33,00.853.274/0001-23,251
252,158.113.291-30,66.898.194/0001-00,252
253,269.761.638-16,49.275.879/0001-73,253
254,226.731.265-46,05.339.008/0001-09,254
255,355.982.533-48,77.741.398/0001-41,255
256,100.447.541-16,48.322.877/0001-25,256
257,092.418.317-90,63.416.320/0001-47,257
258,962.858.532-07,59.928.315/0001-46,258
259,117.633.271-67,63.947.942/0001-00,259
260,280.111.964-48,08.312.260/0001-04,260
261,917.096.060-70,01.113.432/0001-71,261
262,611.811.825-65,16.733.733/0001-75,262
263,469.485.422-47,68.444.159/0001-39,263
264,694.024.822-61,02.991.006/0001-01,264
265,772.198.554-43,13.469.803/0001-31,265
266,849.323.297-17,08.545.187/0001-10,266
267,906.442.575-20,14.387.865/0001-67,267
268,308.282.642-36,90.027.705/0001-95,268
269,647.924.540-77,65.185.434/0001-59,269
270,684.857.652-22,33.989.083/0001-42,270
271,680.014.013-91,72.618.624/0001-88,271
272,520.800.024-57,68.380.529/0001-11,272
273,439.377.334-93,65.132.045/0001-65,273
274,170.599.452-02,05.785.882/0001-61,274
275,526.173.924-14,74.529.313/0001-78,275
276,362.178.971-56,89.302.862/0001-82,276
277,363.294.059-21,74.962.297/0001-02,277
278,074.774.463-76,81.189.804/0001-82,278
279,718.925.276-26,26.443.384/0001-00,279
280,864.987.301-45,28.466.210/0001-99,280
281,171.748.333-06,08.051.448/0001-46,281
282,984.241.017-07,47.824.740/0001-06,282
283,307.358.312-20,06.770.632/0001-10,283
284,118.769.700-14,90.742.675/0001-07,284
285,729.984.412-54,92.225.330/0001-01,285
286,564.729.207-02,00.983.091/0001-22,286
287,148.735.526-21,66.011.940/0001-94,287
288,631.238.951-06,52.471.126/0001-48,288
289,820.373.162-75,33.321.615/0001-79,289
290,231.762.118-30,35.243.721/0001-07,290
291,267.835.552-75,16.176.736/0001-55,291
292,722.702.312-52,61.573.109/0001-02,292
293,335.396.106-26,29.199.211/0001-87,293
294,833.049.217-61,86.864.407/0001-82,294
295,176.344.468-66,56.343.764/0001-34,295
296,570.713.707-61,35.125.145/0001-01,296
297,022.398.934-78,06.092.334/0001-19,297
298,138.345.502-30,90.126.609/0001-02,298
299,635.066.688-70,28.005.787/0001-01,299
300,990.077.970-34,83.639.035/0001-00,300
301,529.781.268-25,28.349.335/0001-39,301
302,397.344.555-91,49.713.497/0001-84,302
303,010.636.865-63,87.627.194/0001-38,303
304,988.884.014-23,18.429.778/0001-86,304
305,603.687.071-05,29.381.102/0001-86,305
306,884.155.334-03,13.462.273/0001-08,306
307,751.351.751-72,54.153.399/0001-70,307
308,093.292.619-30,15.811.325/0001-21,308
309,827.709.775-12,67.605.250/0001-26,309
310,406.587.227-86,05.904.092/0001-58,310
311,715.240.635-92,79.931.576/0001-22,311
312,172.009.411-07,80.930.204/0001-60,312
313,125.894.467-72,07.688.272/0001-75,313
314,327.050.715-12,57.134.606/0001-37,314
315,140.105.108-11,75.111.745/0001-27,315
316,277.264.577-08,98.977.299/0001-33,316
317,551.622.083-10,71.502.438/0001-16,317
318,648.444.130-82,34.692.858/0001-86,318
319,705.280.487-59,92.207.749/0001-22,319
320,414.344.126-87,55.098.217/0001-78,320
321,509.024.037-02,65.017.969/0001-10,321
322,647.742.414-23,55.562.730/0001-78,322
323,904.346.105-93,33.933.784/0001-60,323
324,024.359.449-69,79.630.373/0001-04,324
325,463.601.310-72,95.731.897/0001-30,325
326,592.739.016-11,12.522.869/0001-85,326
327,847.978.165-38,39.395.483/0001-06,327
328,308.030.438-13,92.175.042/0001-81,328
329,883.831.285-09,04.046.012/0001-08,329
330,190.100.290-00,92.785.021/0001-88,330
331,683.135.235-90,22.085.041/0001-60,331
332,323.095.713-00,33.781.579/0001-26,332
333,089.418.679-59,39.891.142/0001-21,333
334,140.476.889-08,14.946.830/0001-10,334
335,453.946.577-50,22.732.974/0001-00,335
336,093.442.209-56,71.506.748/0001-09,336
337,470.445.867-91,11.471.698/0001-40,337
338,301.114.145-20,68.766.384/0001-91,338
339,001.247.408-80,20.889.134/0001-12,339
340,929.033.770-22,80.358.471/0001-05,340
341,711.364.016-87,12.637.560/0001-30,341
342,456.341.881-13,34.568.756/0001-53,342
343,455.944.883-32,30.479.782/0001-54,343
344,020.688.049-99,38.721.672/0001-69,344
345,741.880.670-12,67.958.267/0001-67,345
346,200.691.538-09,42.980.006/0001-12,346
347,036.214.628-48,66.096.744/0001-60,347
348,414.727.801-91,15.667.788/0001-61,348
349,827.403.707-33,63.320.545/0001-03,349
350,975.761.052-67,14.734.436/0001-19,350
351,606.536.306-54,83.648.022/0001-90,351
352,182.948.094-46,28.881.952/0001-80,352
353,156.897.637-21,46.805.404/0001-53,353
354,713.637.633-50,43.627.485/0001-50,354
355,504.222.514-53,76.243.048/0001-92,355
356,844.352.227-52,00.659.183/0001-51,356
357,137.137.551-83,82.972.461/0001-90,357
358,021.997.752-67,54.432.742/0001-15,358
359,725.244.102-42,36.537.358/0001-03,359
360,296.952.932-71,53.240.546/0001-86,360
361,464.521.109-93,28.284.062/0001-91,361
362,726.858.055-08,07.472.261/0001-53,362
363,996.906.349-92,24.469.014/0001-17,363
364,966.185.308-81,62.275.580/0001-87,364
365,489.529.825-68,32.846.974/0001-87,365
366,851.528.381-68,65.574.987/0001-01,366
367,830.833.134-38,10.893.742/0001-47,367
368,052.722.738-26,18.551.197/0001-12,368
369,838.452.607-93,18.908.628/0001-55,369
370,098.280.987-50,68.144.229/0001-33,370
371,132.593.142-02,06.321.155/0001-06,371
372,096.677.482-51,91.965.129/0001-90,372
373,255.227.068-99,21.454.317/0001-78,373
374,793.562.897-19,36.697.410/0001-80,374
375,103.639.729-78,22.873.253/0001-02,375
376,345.985.751-07,34.299.187/0001-98,376
377,699.164.881-77,17.868.583/0001-70,377
378,132.282.684-62,87.182.287/0001-04,378
379,224.784.898-21,99.348.667/0001-47,379
380,580.866.319-90,43.908.480/0001-04,380
381,400.748.003-61,21.072.819/0001-34,381
382,412.248.193-73,53.901.178/0001-70,382
383,841.581.157-87,03.488.133/0001-47,383
384,012.397.078-43,11.741.052/0001-35,384
385,700.309.824-56,05.551.129/0001-01,385
386,280.011.520-30,79.461.091/0001-12,386
387,481.114.351-50,62.140.327/0001-16,387
388,614.706.887-35,91.392.142/0001-05,388
389,525.331.324-97,95.170.862/0001-79,389
390,341.389.327-04,49.437.553/0001-03,390
391,768.090.365-47,84.758.481/0001-99,391
392,799.271.627-23,99.956.235/0001-19,392
393,773.397.397-00,89.418.516/0001-64,393
394,538.231.570-19,93.966.708/0001-82,394
395,699.127.075-08,75.135.350/0001-64,395
396,734.344.686-09,80.554.945/0001-94,396
397,313.335.845-63,33.794.367/0001-83,397
398,917.228.773-08,18.501.867/0001-96,398
399,998.861.066-11,96.632.825/0001-06,399
400,039.703.853-42,85.836.585/0001-37,400
401,653.641.824-79,29.690.562/0001-96,401
402,452.830.792-87,56.935.836/0001-32,402
403,416.120.583-02,53.743.227/0001-93,403
404,138.887.963-85,13.273.481/0001-50,404
405,319.582.791-37,04.046.186/0001-70,405
406,810.716.701-58,93.449.786/0001-00,406
407,655.708.757-60,95.295.987/0001-25,407
408,565.037.466-01,34.719.543/0001-85,408
409,110.856.313-97,47.020.596/0001-55,409
410,207.087.781-78,82.057.158/0001-62,410
411,031.535.632-41,88.387.750/0001-09,411
412,672.163.781-21,30.654.366/0001-45,412
413,223.353.032-28,89.033.075/0001-82,413
414,278.891.657-49,21.327.311/0001-30,414
415,052.340.234-19,27.307.764/0001-80,415
416,057.845.915-92,21.396.865/0001-99,416
417,545.279.851-08,66.533.540/0001-49,417
418,125.571.398-40,91.892.377/0001-58,418
419,341.721.819-53,02.327.194/0001-60,419
420,076.239.262-25,89.377.985/0001-82,420
421,573.449.858-02,01.885.288/0001-91,421
422,781.543.496-71,36.385.744/0001-19,422
423,825.957.603-19,20.650.288/0001-57,423
424,555.805.985-05,61.536.583/0001-64,424
425,445.334.837-12,55.081.151/0001-03,425
426,757.352.862-00,13.524.325/0001-15,426
427,823.357.299-34,17.661.191/0001-35,427
428,224.062.597-06,80.802.559/0001-74,428
429,240.502.173-09,37.004.016/0001-82,429
430,085.171.839-67,71.889.624/0001-50,430
431,736.612.389-73,86.898.802/0001-86,431
432,346.114.549-16,62.440.894/0001-98,432
433,303.261.107-55,62.203.215/0001-67,433
434,535.093.393-04,54.077.622/0001-47,434
435,096.709.747-98,89.523.051/0001-01,435
436,110.555.220-93,51.877.895/0001-88,436
437,072.907.438-22,80.384.499/0001-17,437
438,803.921.255-36,23.598.872/0001-07,438
439,694.052.602-19,32.735.228/0001-16,439
440,974.971.462-89,74.139.648/0001-80,440
441,846.162.805-50,26.978.084/0001-26,441
442,679.973.401-81,75.546.536/0001-06,442
443,226.638.058-31,02.986.276/0001-16,443
444,084.411.046-97,19.022.505/0001-85,444
445,905.680.369-72,48.315.155/0001-43,445
446,043.126.744-85,70.399.724/0001-35,446
447,976.203.495-37,83.257.354/0001-43,447
448,630.285.700-76,88.873.669/0001-39,448
449,793.586.825-58,98.233.749/0001-83,449
450,757.013.273-45,48.159.023/0001-70,450
451,054.543.513-77,28.079.702/0001-21,451
452,101.990.142-05,36.559.762/0001-70,452
453,211.885.902-35,06.096.094/0001-20,453
454,352.419.063-47,48.859.537/0001-38,454
455,605.483.692-75,72.150.560/0001-33,455
456,903.843.565-75,00.881.469/0001-87,456
457,374.233.615-00,99.580.503/0001-40,457
458,521.301.746-04,65.641.715/0001-79,458
459,234.807.165-71,76.180.653/0001-61,459
460,116.108.082-15,67.194.330/0001-36,460
461,323.001.417-01,80.914.116/0001-75,461
462,825.370.471-25,71.366.017/0001-05,462
463,960.453.276-67,56.346.216/0001-68,463
464,133.555.028-39,90.793.197/0001-56,464
465,135.285.466-03,29.294.975/0001-51,465
466,753.369.221-70,80.709.690/0001-91,466
467,266.687.057-07,61.695.967/0001-20,467
468,256.135.361-39,92.366.970/0001-23,468
469,864.543.284-65,68.276.642/0001-51,469
470,806.863.604-86,64.758.610/0001-31,470
471,153.593.022-59,28.922.568/0001-89,471
472,728.817.961-33,81.338.651/0001-98,472
473,265.479.673-60,39.504.944/0001-31,473
474,798.445.841-32,07.928.059/0001-93,474
475,930.767.719-06,22.162.774/0001-51,475
476,739.050.473-06,94.933.844/0001-39,476
477,072.187.712-54,20.366.181/0001-81,477
478,234.745.413-74,24.288.000/0001-05,478
479,925.456.072-31,07.725.689/0001-60,479
480,814.725.352-43,64.429.788/0001-39,480
481,276.772.015-80,92.884.251/0001-02,481
482,296.134.068-32,98.643.882/0001-08,482
483,751.820.834-24,42.309.665/0001-21,483
484,972.646.262-29,47.026.530/0001-72,484
485,514.630.855-16,55.786.595/0001-44,485
486,623.664.055-61,47.285.518/0001-82,486
487,904.821.482-33,47.543.272/0001-00,487
488,591.009.614-18,97.961.289/0001-47,488
489,136.766.911-13,61.761.326/0001-26,489
490,443.197.511-08,94.563.204/0001-84,490
491,662.549.999-43,86.284.277/0001-09,491
492,050.905.992-97,39.034.916/0001-06,492
493,492.853.075-66,44.904.455/0001-07,493
494,719.603.864-92,21.960.572/0001-92,494
495,928.948.098-08,13.613.989/0001-50,495
496,327.300.306-54,37.664.474/0001-48,496
497,668.719.493-30,16.600.678/0001-45,497
498,773.402.341-01,49.805.037/0001-86,498
499,663.602.058-07,95.103.542/0001-04,499
500,410.629.397-86,58.020.309/0001-23,500
501,823.746.283-10,37.591.803/0001-78,501
502,765.797.569-50,57.237.184/0001-25,502
503,699.496.023-43,78.556.502/0001-90,503
504,816.470.387-74,07.926.979/0001-72,504
505,885.530.832-76,64.346.839/0001-69,505
506,980.226.483-02,47.577.305/0001-24,506
507,393.445.010-50,87.728.583/0001-50,507
508,536.531.997-43,34.743.624/0001-10,508
509,203.280.976-16,70.661.705/0001-35,509
510,266.563.721-98,52.837.157/0001-70,510
511,491.440.457-51,03.864.147/0001-18,511
512,281.961.178-84,49.538.179/0001-24,512
513,855.070.571-33,37.684.904/0001-93,513
514,218.562.017-75,94.880.060/0001-90,514
515,086.039.398-45,30.612.154/0001-03,515
516,538.188.239-44,80.964.029/0001-22,516
517,777.297.605-41,43.200.221/0001-16,517
518,647.289.865-00,82.231.290/0001-49,518
519,011.989.599-40,36.379.697/0001-09,519
520,597.039.657-50,67.718.801/0001-68,520
521,323.242.067-22,08.602.247/0001-90,521
522,616.101.052-65,35.359.278/0001-34,522
523,010.731.673-05,83.540.999/0001-99,523
524,566.890.119-09,19.471.792/0001-00,524
525,473.504.193-17,72.878.658/0001-01,525
526,635.244.877-18,01.653.462/0001-70,526
527,870.976.189-65,25.925.132/0001-55,527
528,563.174.565-85,60.039.409/0001-43,528
529,061.989.628-06,60.889.329/0001-87,529
530,512.661.880-61,24.968.509/0001-90,530
531,709.648.807-33,02.294.072/0001-14,531
532,527.016.866-95,96.195.029/0001-45,532
533,859.172.680-45,50.334.908/0001-00,533
534,667.036.137-88,72.386.895/0001-55,534
535,757.765.171-09,89.815.109/0001-90,535
536,321.461.398-70,65.464.454/0001-69,536
537,860.318.249-30,89.651.666/0001-13,537
538,170.978.027-40,14.786.043/0001-59,538
539,444.281.688-37,64.358.997/0001-39,539
540,747.451.129-04,84.690.865/0001-17,540
541,574.615.925-56,82.316.743/0001-30,541
542,016.561.223-16,67.641.470/0001-05,542
543,063.742.714-91,17.012.065/0001-50,543
544,348.755.079-25,58.050.075/0001-67,544
545,885.452.380-10,58.872.688/0001-80,545
546,066.992.087-80,29.194.481/0001-03,546
547,859.369.442-04,33.943.256/0001-91,547
548,588.045.403-70,07.242.557/0001-88,548
549,482.762.761-48,29.262.708/0001-00,549
550,386.458.958-46,76.322.036/0001-53,550
551,681.308.574-30,75.391.991/0001-80,551
552,539.306.129-33,34.289.612/0001-68,552
553,786.100.774-03,86.376.696/0001-70,553
554,581.911.998-31,46.445.213/0001-28,554
555,746.840.064-41,95.375.012/0001-07,555
556,075.271.550-00,69.659.882/0001-06,556
557,404.370.910-23,62.265.481/0001-14,557
558,803.601.605-22,16.458.187/0001-01,558
559,513.183.223-32,61.527.984/0001-58,559
560,135.370.004-64,35.273.310/0001-64,560
561,830.301.665-20,25.883.439/0001-30,561
562,435.052.197-62,93.004.226/0001-41,562
563,836.798.597-40,00.523.781/0001-07,563
564,627.323.482-52,12.810.522/0001-38,564
565,112.174.369-28,48.790.013/0001-38,565
566,264.702.186-44,62.145.404/0001-20,566
567,406.861.617-50,19.679.163/0001-70,567
568,662.452.914-88,94.640.386/0001-40,568
569,958.033.400-57,85.447.479/0001-61,569
570,077.669.238-07,20.956.020/0001-48,570
571,456.781.177-18,86.582.947/0001-73,571
572,549.297.798-98,31.451.691/0001-73,572
573,239.939.076-80,04.274.556/0001-27,573
574,758.578.126-15,26.775.089/0001-51,574
575,225.459.779-50,12.049.436/0001-54,575
576,906.841.104-74,83.007.728/0001-72,576
577,831.012.792-83,53.319.758/0001-53,577
578,850.003.405-07,41.022.598/0001-05,578
579,090.682.091-08,95.462.378/0001-13,579
580,871.901.066-42,09.566.634/0001-80,580
581,182.114.419-85,43.637.622/0001-38,581
582,813.645.238-50,19.752.106/0001-70,582
583,977.184.483-04,87.928.845/0001-20,583
584,119.764.658-26,13.636.901/0001-16,584
585,703.754.487-64,86.262.000/0001-85,585
586,867.713.237-65,65.992.410/0001-01,586
587,130.507.462-97,39.221.778/0001-66,587
588,814.647.170-60,41.258.026/0001-11,588
589,186.721.800-38,48.034.509/0001-81,589
590,654.323.868-28,08.697.527/0001-29,590
591,553.003.864-64,04.606.194/0001-24,591
592,387.667.999-02,37.889.281/0001-95,592
593,250.827.020-25,96.488.591/0001-67,593
594,736.074.541-16,80.846.243/0001-84,594
595,193.931.562-04,60.399.063/0001-94,595
596,550.872.890-29,30.626.975/0001-90,596
597,674.991.632-53,99.842.256/0001-03,597
598,042.399.899-49,78.807.652/0001-20,598
599,012.848.888-35,13.706.296/0001-02,599
600,325.287.174-23,37.408.746/0001-49,600
601,449.079.658-77,19.361.741/0001-26,601
602,804.653.154-53,51.263.636/0001-67,602
603,644.090.214-86,69.360.595/0001-92,603
604,459.186.073-66,10.155.513/0001-25,604
605,509.295.270-97,52.741.180/0001-66,605
606,997.947.104-23,50.697.618/0001-20,606
